model,source_lang,target_lang,MRR,avg_rank
jinaai/jina-embeddings-v3,eng_Latn,pag_Latn,0.7603295811858733,22.954545454545453
jinaai/jina-embeddings-v3,eng_Latn,pes_Arab,0.986429512516469,1.0355731225296445
jinaai/jina-embeddings-v3,eng_Latn,lin_Latn,0.5167132344112297,110.2895256916996
jinaai/jina-embeddings-v3,eng_Latn,bjn_Arab,0.242581436472318,171.6581027667984
jinaai/jina-embeddings-v3,eng_Latn,gla_Latn,0.6232642160689889,18.546442687747035
jinaai/jina-embeddings-v3,eng_Latn,hne_Deva,0.9536656974230072,2.1986166007905137
jinaai/jina-embeddings-v3,eng_Latn,apc_Arab,0.9749121651295564,1.0691699604743083
jinaai/jina-embeddings-v3,eng_Latn,khk_Cyrl,0.9598410702165644,1.157114624505929
jinaai/jina-embeddings-v3,eng_Latn,ast_Latn,0.9734583653061916,1.208498023715415
jinaai/jina-embeddings-v3,eng_Latn,guj_Gujr,0.9848814229249012,1.0395256916996047
jinaai/jina-embeddings-v3,eng_Latn,smo_Latn,0.4596918459108197,136.4001976284585
jinaai/jina-embeddings-v3,eng_Latn,nya_Latn,0.4891176603009694,153.3814229249012
jinaai/jina-embeddings-v3,eng_Latn,jpn_Jpan,0.9946475625823452,1.0158102766798418
jinaai/jina-embeddings-v3,eng_Latn,rus_Cyrl,0.9944005270092224,1.0138339920948616
jinaai/jina-embeddings-v3,eng_Latn,dzo_Tibt,0.0107021891360182,495.8596837944664
jinaai/jina-embeddings-v3,eng_Latn,nob_Latn,0.9919337130066442,1.2895256916996047
jinaai/jina-embeddings-v3,eng_Latn,pan_Guru,0.9724896480331262,1.0790513833992097
jinaai/jina-embeddings-v3,eng_Latn,fuv_Latn,0.4539105326769278,154.53458498023716
jinaai/jina-embeddings-v3,eng_Latn,ewe_Latn,0.4501485553108855,167.22332015810278
jinaai/jina-embeddings-v3,eng_Latn,ukr_Cyrl,0.9980237154150198,1.0039525691699605
jinaai/jina-embeddings-v3,eng_Latn,kan_Knda,0.9821310935441372,1.0523715415019763
jinaai/jina-embeddings-v3,eng_Latn,tgk_Cyrl,0.4512953997654739,107.08893280632412
jinaai/jina-embeddings-v3,eng_Latn,zho_Hans,0.9932241671372106,1.0197628458498025
jinaai/jina-embeddings-v3,eng_Latn,kaz_Cyrl,0.985488282029784,1.391304347826087
jinaai/jina-embeddings-v3,eng_Latn,ban_Latn,0.8216136879633666,6.366600790513834
jinaai/jina-embeddings-v3,eng_Latn,ace_Arab,0.3126261184805969,121.27371541501977
jinaai/jina-embeddings-v3,eng_Latn,kmr_Latn,0.8953437333353447,2.2569169960474307
jinaai/jina-embeddings-v3,eng_Latn,urd_Arab,0.9810837568228872,1.550395256916996
jinaai/jina-embeddings-v3,eng_Latn,mlt_Latn,0.6961258865387427,21.32411067193676
jinaai/jina-embeddings-v3,eng_Latn,lvs_Latn,0.9922595520421608,1.0197628458498025
jinaai/jina-embeddings-v3,eng_Latn,plt_Latn,0.832699287026615,4.786561264822135
jinaai/jina-embeddings-v3,eng_Latn,bul_Cyrl,0.9934947299077734,1.0158102766798418
jinaai/jina-embeddings-v3,eng_Latn,awa_Deva,0.9718731571064892,3.071146245059289
jinaai/jina-embeddings-v3,eng_Latn,tzm_Tfng,0.0886906474447447,388.59387351778656
