source_lang,target_lang,model,MRR
ind_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,glg_Latn,microsoft/harrier-oss-v1-270m,1.0
zsm_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,mar_Deva,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,mkd_Cyrl,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,hin_Deva,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,hrv_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,ita_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,ron_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,rus_Cyrl,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,tgl_Latn,intfloat/multilingual-e5-large,1.0
rus_Cyrl,por_Latn,microsoft/harrier-oss-v1-270m,1.0
bul_Cyrl,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
cat_Latn,epo_Latn,intfloat/multilingual-e5-large,1.0
rus_Cyrl,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
hun_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
ita_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,tur_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,ukr_Cyrl,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,ukr_Cyrl,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,por_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,bul_Cyrl,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,ces_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,vie_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
ces_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
ron_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
ceb_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
rus_Cyrl,epo_Latn,microsoft/harrier-oss-v1-270m,1.0
cat_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,deu_Latn,microsoft/harrier-oss-v1-270m,1.0
ukr_Cyrl,por_Latn,microsoft/harrier-oss-v1-270m,1.0
mar_Deva,por_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,zsm_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,zsm_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,pol_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,ron_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,eng_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,hin_Deva,microsoft/harrier-oss-v1-270m,1.0
fra_Latn,epo_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,hrv_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,ita_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,ukr_Cyrl,microsoft/harrier-oss-v1-270m,1.0
zho_Hant,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
ita_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
por_Latn,srp_Cyrl,microsoft/harrier-oss-v1-270m,1.0
por_Latn,swe_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,tam_Taml,microsoft/harrier-oss-v1-270m,1.0
ces_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
por_Latn,tur_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,ukr_Cyrl,microsoft/harrier-oss-v1-270m,1.0
por_Latn,ita_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,jpn_Jpan,microsoft/harrier-oss-v1-270m,1.0
por_Latn,mkd_Cyrl,microsoft/harrier-oss-v1-270m,1.0
vie_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
hin_Deva,por_Latn,microsoft/harrier-oss-v1-270m,1.0
hin_Deva,mag_Deva,microsoft/harrier-oss-v1-270m,1.0
por_Latn,nld_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,ron_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,rus_Cyrl,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,zsm_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,mkd_Cyrl,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,por_Latn,microsoft/harrier-oss-v1-270m,1.0
amh_Ethi,por_Latn,microsoft/harrier-oss-v1-270m,1.0
ukr_Cyrl,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
fra_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,ron_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,rus_Cyrl,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,srp_Cyrl,intfloat/multilingual-e5-large,1.0
por_Latn,als_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,cat_Latn,microsoft/harrier-oss-v1-270m,1.0
dan_Latn,epo_Latn,intfloat/multilingual-e5-large,1.0
por_Latn,ces_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,deu_Latn,microsoft/harrier-oss-v1-270m,1.0
heb_Hebr,por_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,eng_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,fra_Latn,microsoft/harrier-oss-v1-270m,1.0
por_Latn,heb_Hebr,microsoft/harrier-oss-v1-270m,1.0
por_Latn,hrv_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,hin_Deva,microsoft/harrier-oss-v1-270m,1.0
mag_Deva,mar_Deva,microsoft/harrier-oss-v1-270m,1.0
mag_Deva,tam_Taml,microsoft/harrier-oss-v1-270m,1.0
swe_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,ind_Latn,microsoft/harrier-oss-v1-270m,1.0
pap_Latn,ukr_Cyrl,microsoft/harrier-oss-v1-270m,1.0
deu_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
deu_Latn,epo_Latn,microsoft/harrier-oss-v1-270m,1.0
dan_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
afr_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,als_Latn,intfloat/multilingual-e5-large,1.0
epo_Latn,dan_Latn,microsoft/harrier-oss-v1-270m,1.0
epo_Latn,deu_Latn,microsoft/harrier-oss-v1-270m,1.0
eng_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
eng_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
eng_Latn,prs_Arab,microsoft/harrier-oss-v1-270m,1.0
