source_lang,target_lang,model,MRR
arb_Arab,tur_Latn,microsoft/harrier-oss-v1-0.6b,1.0
zsm_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
zsm_Latn,por_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
arb_Arab,ukr_Cyrl,microsoft/harrier-oss-v1-270m,1.0
bos_Latn,epo_Latn,microsoft/harrier-oss-v1-270m,1.0
fra_Latn,epo_Latn,microsoft/harrier-oss-v1-270m,1.0
bos_Latn,oci_Latn,microsoft/harrier-oss-v1-0.6b,1.0
ars_Arab,ces_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,deu_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,srp_Cyrl,microsoft/harrier-oss-v1-0.6b,1.0
fra_Latn,kor_Hang,jinaai/jina-embeddings-v5-text-small,1.0
arb_Arab,hrv_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,ind_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
arb_Arab,ita_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,jpn_Jpan,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,ces_Latn,microsoft/harrier-oss-v1-270m,1.0
arb_Arab,deu_Latn,microsoft/harrier-oss-v1-270m,1.0
ita_Latn,kor_Hang,jinaai/jina-embeddings-v5-text-nano,1.0
ita_Latn,epo_Latn,jinaai/jina-embeddings-v3,1.0
slv_Latn,por_Latn,microsoft/harrier-oss-v1-0.6b,1.0
bul_Cyrl,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
cat_Latn,epo_Latn,intfloat/multilingual-e5-large,1.0
cat_Latn,est_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,por_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ita_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
afr_Latn,est_Latn,jinaai/jina-embeddings-v3,1.0
afr_Latn,arb_Arab,microsoft/harrier-oss-v1-0.6b,1.0
kor_Hang,ces_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
slk_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
ces_Latn,epo_Latn,jinaai/jina-embeddings-v3,1.0
ceb_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
cat_Latn,zho_Hans,microsoft/harrier-oss-v1-0.6b,1.0
cat_Latn,por_Latn,intfloat/multilingual-e5-small,1.0
ars_Arab,ita_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,jpn_Jpan,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,vie_Latn,jinaai/jina-embeddings-v5-text-small,1.0
arb_Arab,zho_Hans,jinaai/jina-embeddings-v5-text-nano,1.0
arb_Arab,zsm_Latn,microsoft/harrier-oss-v1-270m,1.0
ars_Arab,bos_Latn,jinaai/jina-embeddings-v3,1.0
ars_Arab,swe_Latn,jinaai/jina-embeddings-v5-text-small,1.0
arb_Arab,eng_Latn,codefuse-ai/F2LLM-v2-330M,1.0
vie_Latn,zho_Hans,codefuse-ai/F2LLM-v2-330M,1.0
dan_Latn,kor_Hang,jinaai/jina-embeddings-v5-text-nano,1.0
rus_Cyrl,por_Latn,microsoft/harrier-oss-v1-270m,1.0
bel_Cyrl,por_Latn,microsoft/harrier-oss-v1-0.6b,1.0
dan_Latn,epo_Latn,intfloat/multilingual-e5-large,1.0
dan_Latn,est_Latn,jinaai/jina-embeddings-v3,1.0
rus_Cyrl,zho_Hans,codefuse-ai/F2LLM-v2-330M,1.0
slk_Latn,epo_Latn,jinaai/jina-embeddings-v3,1.0
ces_Latn,zho_Hans,microsoft/harrier-oss-v1-270m,1.0
ces_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
ind_Latn,por_Latn,microsoft/harrier-oss-v1-270m,1.0
zho_Hant,zho_Hans,intfloat/multilingual-e5-small,1.0
