source_lang,target_lang,model,MRR
srp_Cyrl,por_Latn,microsoft/harrier-oss-v1-0.6b,1.0
zsm_Latn,por_Latn,microsoft/harrier-oss-v1-0.6b,1.0
ast_Latn,cat_Latn,jinaai/jina-embeddings-v3,1.0
epo_Latn,srp_Cyrl,intfloat/multilingual-e5-large,1.0
epo_Latn,slk_Latn,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,eng_Latn,microsoft/harrier-oss-v1-0.6b,1.0
cat_Latn,zho_Hans,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,glg_Latn,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,cat_Latn,jinaai/jina-embeddings-v3,1.0
ast_Latn,nld_Latn,microsoft/harrier-oss-v1-0.6b,1.0
vie_Latn,zho_Hans,microsoft/harrier-oss-v1-0.6b,1.0
eng_Latn,arb_Arab,microsoft/harrier-oss-v1-0.6b,1.0
por_Latn,fra_Latn,microsoft/harrier-oss-v1-0.6b,1.0
por_Latn,epo_Latn,microsoft/harrier-oss-v1-0.6b,1.0
fra_Latn,por_Latn,microsoft/harrier-oss-v1-0.6b,1.0
jav_Latn,zho_Hans,microsoft/harrier-oss-v1-0.6b,1.0
por_Latn,eng_Latn,microsoft/harrier-oss-v1-0.6b,1.0
por_Latn,deu_Latn,microsoft/harrier-oss-v1-0.6b,1.0
epo_Latn,ukr_Cyrl,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,jpn_Jpan,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,ita_Latn,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,pol_Latn,jinaai/jina-embeddings-v3,1.0
arb_Arab,hrv_Latn,microsoft/harrier-oss-v1-0.6b,1.0
arb_Arab,bul_Cyrl,microsoft/harrier-oss-v1-0.6b,1.0
eng_Latn,zho_Hans,microsoft/harrier-oss-v1-0.6b,1.0
dan_Latn,est_Latn,jinaai/jina-embeddings-v3,1.0
dan_Latn,epo_Latn,intfloat/multilingual-e5-large,1.0
arb_Arab,nld_Latn,microsoft/harrier-oss-v1-0.6b,1.0
bos_Latn,zho_Hans,microsoft/harrier-oss-v1-0.6b,1.0
por_Latn,ita_Latn,microsoft/harrier-oss-v1-0.6b,1.0
oci_Latn,rus_Cyrl,microsoft/harrier-oss-v1-0.6b,1.0
oci_Latn,ron_Latn,microsoft/harrier-oss-v1-0.6b,1.0
ars_Arab,tur_Latn,microsoft/harrier-oss-v1-0.6b,1.0
