model,avg_MRR,avg_rank,num_best_pairs,time_seconds
microsoft/harrier-oss-v1-0.6b,0.9628612264783093,2.316060927878473,2141,61285
microsoft/harrier-oss-v1-270m,0.9598620434637992,2.4176263698432394,941,40225
intfloat/multilingual-e5-large,0.9533026122135149,3.213776065052708,1909,34124
intfloat/multilingual-e5-small,0.9171503579565076,4.3123986517515345,28,16325
Alibaba-NLP/gte-multilingual-base,0.9028355676991467,4.909838983650167,53,18914
jinaai/jina-embeddings-v3,0.8275117836214286,36.24969599837974,1395,87045
codefuse-ai/F2LLM-v2-0.6B,0.8093868312794046,20.118577898997625,70,60461
jinaai/jina-embeddings-v5-text-small,0.7974720029644695,27.495268206183468,59,130901
codefuse-ai/F2LLM-v2-330M,0.7917588638775942,19.135682718252145,16,35646
jinaai/jina-embeddings-v5-text-nano,0.7518414168353834,33.995391127608485,41,55902
codefuse-ai/F2LLM-v2-160M,0.7183613332970641,25.512519414937273,0,21806
codefuse-ai/F2LLM-v2-80M,0.6554928161380432,33.75784793893014,1,19634
google/embeddinggemma-300m,0.5438343061092534,68.72092042448062,0,62679
Qwen/Qwen3-Embedding-0.6B,0.5388468174457167,77.40253391891595,0,83035
