lang_pair,source_lang,target_lang,model,MRR,n_rows_total,n_shards,data_mean,data_p05,data_p10,data_p50,gold_mean,gold_std,gold_q_value,gold_quantile,data_quantile,T_gold,T_data,T_raw,T_clipped,data_sanity_cap,T_keep_cap,T,eff_cap,gold_cap_value,confidence,has_benchmark,has_gold,kept_fraction_est
abk_Cyrl-bos_Latn,abk_Cyrl,bos_Latn,,,23494,1,0.8490317463874817,0.7113966256380081,0.7363537430763245,0.8575417399406433,,,,p01,p10,,0.7363537430763245,0.6742729711532592,0.6742729711532592,0.8575417399406433,0.7542795211076737,0.6742729711532592,0.95,,no_benchmark,False,False,0.99
abk_Cyrl-nld_Latn,abk_Cyrl,nld_Latn,,,88585,1,0.8246086835861206,0.705757737159729,0.7258293628692627,0.8160048723220825,,,,p01,p10,,0.7258293628692627,0.6701814818382263,0.6701814818382263,0.8160048723220825,0.7388059298197428,0.6701814818382263,0.95,,no_benchmark,False,False,0.99
abk_Cyrl-zho_Hant,abk_Cyrl,zho_Hant,,,37965,1,0.8031274080276489,0.7018038034439087,0.7220601797103882,0.7957233786582947,,,,p01,p10,,0.7220601797103882,0.6599486613273621,0.6599486613273621,0.7957233786582947,0.7322140375773112,0.6599486613273621,0.95,,no_benchmark,False,False,0.99
acm_Arab-heb_Hebr,acm_Arab,heb_Hebr,jinaai/jina-embeddings-v3,0.9975296442687748,125353,1,0.7090046405792236,0.3486764371395111,0.4608244836330414,0.7458298206329346,0.7929218411445618,0.0836342796683311,0.5568121701478959,p01,p10,0.5568121701478959,0.4608244836330414,0.5568121701478959,0.5568121701478959,0.7458298206329346,0.5114938775698344,0.5114938775698344,0.7404302507638931,0.7404302507638931,high,True,True,0.85
aeb_Arab-bos_Latn,aeb_Arab,bos_Latn,microsoft/harrier-oss-v1-0.6b,0.9927659059221092,56694,1,0.8418114185333252,0.7201719999313354,0.7546968042850495,0.8506499528884888,0.8943895101547241,0.0347429551184177,0.7963388502597809,p01,p10,0.7963388502597809,0.7546968042850495,0.7963388502597809,0.7963388502597809,0.8506499528884888,0.7713971306880315,0.7713971306880315,0.8744380921125412,0.8744380921125412,high,True,True,0.8500000000000001
aeb_Arab-ita_Latn,aeb_Arab,ita_Latn,microsoft/harrier-oss-v1-0.6b,0.9917723304893906,273928,1,0.8560445308685303,0.7391436547040939,0.770410168170929,0.8652186095714569,0.8955575227737427,0.0368556752800941,0.7819450443983078,p01,p10,0.7819450443983078,0.770410168170929,0.7819450443983078,0.7819450443983078,0.8652186095714569,0.7864982903003693,0.7819450443983078,0.8743366152048111,0.8743366152048111,high,True,True,0.8641509551749651
afr_Latn-als_Latn,afr_Latn,als_Latn,intfloat/multilingual-e5-large,0.993119706973948,849390,1,0.9226963520050048,0.8491775095462799,0.877040994167328,0.9307884573936462,0.9130280017852784,0.0280278138816356,0.8325348377227784,p01,p10,0.8325348377227784,0.877040994167328,0.877040994167328,0.877040994167328,0.9307884573936462,0.8873194684584935,0.877040994167328,0.8959583193063736,0.8959583193063736,high,True,True,0.9
afr_Latn-cat_Latn,afr_Latn,cat_Latn,jinaai/jina-embeddings-v3,0.9895152694255952,1380490,1,0.7355614900588989,0.2224516779184341,0.30349842607975,0.8359499573707581,0.8552381992340088,0.0962642282247543,0.4969006344676018,p01,p10,0.4969006344676018,0.30349842607975,0.4769006344676018,0.4769006344676018,0.8359499573707581,0.408824434876442,0.408824434876442,0.8196265697479248,0.8196265697479248,mid,True,True,0.85
afr_Latn-fil_Latn,afr_Latn,fil_Latn,,,328844,1,0.903594970703125,0.784770491719246,0.8317562222480774,0.917491614818573,,,,p01,p10,,0.8317562222480774,0.7288577562570572,0.7288577562570572,0.917491614818573,0.8493185857931773,0.7288577562570572,0.95,,no_benchmark,False,False,0.99
afr_Latn-hye_Armn,afr_Latn,hye_Armn,intfloat/multilingual-e5-large,0.9907787464030346,316610,1,0.8865557909011841,0.7675722181797028,0.7880998253822327,0.902271956205368,0.9040162563323976,0.0297462418675422,0.8275386989116669,p01,p10,0.8275386989116669,0.7880998253822327,0.8275386989116669,0.8275386989116669,0.902271956205368,0.8090988049904505,0.8090988049904505,0.8860144168138504,0.8860144168138504,high,True,True,0.8500000000000001
afr_Latn-kmr_Latn,afr_Latn,kmr_Latn,intfloat/multilingual-e5-large,0.965295582789092,79191,1,0.886206865310669,0.7823910117149353,0.8024086952209473,0.8984116315841675,0.8952875733375549,0.030110377818346,0.8179818034172058,p01,p10,0.8179818034172058,0.8024086952209473,0.8024086952209473,0.8024086952209473,0.8984116315841675,0.819335013628006,0.8024086952209473,0.8757755160331726,0.8757755160331726,mid,True,True,0.9
afr_Latn-mai_Deva,afr_Latn,mai_Deva,intfloat/multilingual-e5-large,0.9869603498908854,34108,1,0.866875410079956,0.7734838396310806,0.7921465277671814,0.8710758090019226,0.8959471583366394,0.0285378023982048,0.819784677028656,p01,p10,0.819784677028656,0.7921465277671814,0.799784677028656,0.799784677028656,0.8710758090019226,0.8029274900754293,0.799784677028656,0.8791264295578003,0.8791264295578003,mid,True,True,0.864575753800609
afr_Latn-npi_Deva,afr_Latn,npi_Deva,intfloat/multilingual-e5-large,0.9863918122572612,144939,1,0.8806865811347961,0.7761475682258606,0.8118524789810181,0.8896301984786987,0.8946895599365234,0.0295329764485359,0.8128928512334823,p01,p10,0.8128928512334823,0.8118524789810181,0.8118524789810181,0.8118524789810181,0.8896301984786987,0.8257423798243205,0.8118524789810181,0.8775296211242676,0.8775296211242676,mid,True,True,0.9
afr_Latn-slk_Latn,afr_Latn,slk_Latn,jinaai/jina-embeddings-v3,0.9933535406445788,1784283,1,0.7192866206169128,0.2384586185216903,0.3122762441635132,0.815585732460022,0.8631133437156677,0.0857620239257812,0.5561909168958664,p01,p10,0.5561909168958664,0.3122762441635132,0.5561909168958664,0.5561909168958664,0.815585732460022,0.3934682011604309,0.3934682011604309,0.8259216994047165,0.8259216994047165,high,True,True,0.85
afr_Latn-tam_Taml,afr_Latn,tam_Taml,jinaai/jina-embeddings-v3,0.9793875506537992,509676,1,0.6593605279922485,0.2430775202810764,0.3100641816854477,0.7140186727046967,0.7811293601989746,0.1016480028629303,0.4504954680800438,p01,p10,0.4504954680800438,0.3100641816854477,0.4304954680800438,0.4304954680800438,0.7140186727046967,0.3755824913581213,0.3755824913581213,0.7273141890764236,0.7273141890764236,mid,True,True,0.85
afr_Latn-vec_Latn,afr_Latn,vec_Latn,microsoft/harrier-oss-v1-0.6b,0.9956293706293706,102923,1,0.8207259774208069,0.7253043293952942,0.7386137247085571,0.8046504259109497,0.9090842604637146,0.0315327681601047,0.8234644067287445,p01,p10,0.8234644067287445,0.7386137247085571,0.8234644067287445,0.8234644067287445,0.8046504259109497,0.7474106252193451,0.7474106252193451,0.8920778930187225,0.8920778930187225,high,True,True,0.85
