direction_key,winner_model,winner_avg_score,num_sentences,rate_per_hour,est_hours
abk_Cyrl-bos_Latn,qwen3-4b-instruct-2507,unknown,23259,28000,0.8
abk_Cyrl-ces_Latn,metricx24,unknown,70766,1200000,0.1
abk_Cyrl-dan_Latn,metricx24,unknown,52643,1200000,0.0
abk_Cyrl-deu_Latn,metricx24,unknown,76458,1200000,0.1
abk_Cyrl-ell_Grek,metricx24,unknown,79576,1200000,0.1
abk_Cyrl-eng_Latn,metricx24,unknown,98253,1200000,0.1
abk_Cyrl-est_Latn,metricx24,unknown,23270,1200000,0.0
abk_Cyrl-eus_Latn,metricx24,unknown,14227,1200000,0.0
abk_Cyrl-fas_Arab,qwen3-4b-instruct-2507,unknown,60476,28000,2.2
abk_Cyrl-fin_Latn,metricx24,unknown,61406,1200000,0.1
abk_Cyrl-fra_Latn,metricx24,unknown,78866,1200000,0.1
abk_Cyrl-heb_Hebr,metricx24,unknown,60094,1200000,0.1
abk_Cyrl-hrv_Latn,qwen3-4b-instruct-2507,unknown,60405,28000,2.2
abk_Cyrl-hun_Latn,metricx24,unknown,71763,1200000,0.1
abk_Cyrl-ind_Latn,metricx24,unknown,57796,1200000,0.0
abk_Cyrl-ita_Latn,metricx24,unknown,76061,1200000,0.1
abk_Cyrl-nld_Latn,metricx24,unknown,87699,1200000,0.1
abk_Cyrl-nor_Latn,qwen3-4b-instruct-2507,unknown,35873,28000,1.3
abk_Cyrl-pol_Latn,metricx24,unknown,96378,1200000,0.1
abk_Cyrl-por_Latn,metricx24,unknown,115175,1200000,0.1
abk_Cyrl-ron_Latn,metricx24,unknown,95434,1200000,0.1
abk_Cyrl-rus_Cyrl,metricx24,unknown,102493,1200000,0.1
abk_Cyrl-slk_Latn,metricx24,unknown,48698,1200000,0.0
abk_Cyrl-slv_Latn,metricx24,unknown,64033,1200000,0.1
abk_Cyrl-spa_Latn,metricx24,unknown,94073,1200000,0.1
abk_Cyrl-srp_Latn,qwen3-4b-instruct-2507,unknown,101971,28000,3.6
abk_Cyrl-swe_Latn,metricx24,unknown,133960,1200000,0.1
abk_Cyrl-tha_Thai,metricx24,unknown,71525,1200000,0.1
abk_Cyrl-tur_Latn,metricx24,unknown,165424,1200000,0.1
abk_Cyrl-ukr_Cyrl,metricx24,unknown,59941,1200000,0.0
abk_Cyrl-vie_Latn,metricx24,unknown,87894,1200000,0.1
abk_Cyrl-zho_Hans,metricx24,unknown,65954,1200000,0.1
abk_Cyrl-zho_Hant,metricx24,unknown,37585,1200000,0.0
ace_Latn-ceb_Latn,m-prometheus-7b,0.785420607,106390,27000,3.9
ace_Latn-eng_Latn,qwen3-4b-instruct-2507,0.906804,1920331,28000,68.6
ace_Latn-jav_Latn,m-prometheus-7b,0.825619711,97489,27000,3.6
ace_Latn-por_Latn,qwen3-4b-instruct-2507,0.841573,63817,28000,2.3
ace_Latn-rus_Cyrl,shaomutan_remedy-9b-22,0.879373839,56877,200000,0.3
ace_Latn-war_Latn,qwen3-4b-instruct-2507,0.774599,91012,28000,3.3
acm_Arab-bul_Cyrl,qwen3-4b-instruct-2507,0.952583,99480,28000,3.6
acm_Arab-ces_Latn,qwen3-4b-instruct-2507,0.946605,112512,28000,4.0
acm_Arab-dan_Latn,qwen3-4b-instruct-2507,0.932195,89558,28000,3.2
acm_Arab-deu_Latn,qwen3-4b-instruct-2507,0.942842,117393,28000,4.2
acm_Arab-ell_Grek,qwen3-4b-instruct-2507,0.939094,123731,28000,4.4
acm_Arab-eng_Latn,qwen3-4b-instruct-2507,0.965844,229187,28000,8.2
acm_Arab-fas_Arab,metricx24,unknown,120054,1200000,0.1
acm_Arab-fin_Latn,shaomutan_remedy-9b-22,0.919945821,109483,200000,0.5
acm_Arab-fra_Latn,qwen3-4b-instruct-2507,0.946023,148447,28000,5.3
acm_Arab-heb_Hebr,qwen3-4b-instruct-2507,0.936939,108211,28000,3.9
acm_Arab-hrv_Latn,qwen3-4b-instruct-2507,0.934136,84449,28000,3.0
acm_Arab-hun_Latn,qwen3-4b-instruct-2507,0.937536,115757,28000,4.1
acm_Arab-ind_Latn,shaomutan_remedy-9b-22,0.925302817,112996,200000,0.6
acm_Arab-ita_Latn,qwen3-4b-instruct-2507,0.954395,123816,28000,4.4
acm_Arab-nld_Latn,shaomutan_remedy-9b-22,0.933167137,131372,200000,0.7
acm_Arab-pol_Latn,qwen3-4b-instruct-2507,0.933136,133410,28000,4.8
acm_Arab-por_Latn,qwen3-4b-instruct-2507,0.93676,155733,28000,5.6
acm_Arab-ron_Latn,qwen3-4b-instruct-2507,0.946705,143604,28000,5.1
acm_Arab-rus_Cyrl,qwen3-4b-instruct-2507,0.941528,106179,28000,3.8
acm_Arab-slv_Latn,qwen3-4b-instruct-2507,0.929995,52652,28000,1.9
acm_Arab-spa_Latn,shaomutan_remedy-9b-22,0.940339728,169862,200000,0.8
acm_Arab-srp_Latn,metricx24,unknown,119973,1200000,0.1
acm_Arab-swe_Latn,shaomutan_remedy-9b-22,0.930359108,96356,200000,0.5
acm_Arab-tur_Latn,qwen3-4b-instruct-2507,0.93659,134800,28000,4.8
acm_Arab-vie_Latn,shaomutan_remedy-9b-22,0.935181164,71326,200000,0.4
aeb_Arab-bos_Latn,shaomutan_remedy-9b-22,0.922454798,48981,200000,0.2
aeb_Arab-bul_Cyrl,qwen3-4b-instruct-2507,0.932708,181398,28000,6.5
aeb_Arab-ces_Latn,qwen3-4b-instruct-2507,0.919746,204965,28000,7.3
aeb_Arab-cmn_Hani,metricx24,unknown,82105,1200000,0.1
aeb_Arab-dan_Latn,shaomutan_remedy-9b-22,0.941899375,164817,200000,0.8
aeb_Arab-deu_Latn,shaomutan_remedy-9b-22,0.939242007,235889,200000,1.2
aeb_Arab-ekk_Latn,metricx24,unknown,72154,1200000,0.1
aeb_Arab-ell_Grek,shaomutan_remedy-9b-22,0.944131087,224144,200000,1.1
aeb_Arab-eng_Latn,qwen3-4b-instruct-2507,0.947715,611656,28000,21.8
aeb_Arab-fas_Arab,metricx24,unknown,231206,1200000,0.2
aeb_Arab-fin_Latn,shaomutan_remedy-9b-22,0.933037377,200038,200000,1.0
aeb_Arab-fra_Latn,qwen3-4b-instruct-2507,0.931518,294112,28000,10.5
aeb_Arab-heb_Hebr,shaomutan_remedy-9b-22,0.93660451,195697,200000,1.0
aeb_Arab-hrv_Latn,shaomutan_remedy-9b-22,0.91870793,166730,200000,0.8
aeb_Arab-hun_Latn,shaomutan_remedy-9b-22,0.93428717,210883,200000,1.1
