direction_key,winner_model,winner_avg_score,num_sentences,rate_per_hour,est_hours
abk_Cyrl-abk_Cyrl,qwen3-4b-instruct-2507,unknown,14650,28000,0.5
abk_Cyrl-bos_Latn,qwen3-4b-instruct-2507,unknown,23494,28000,0.8
abk_Cyrl-ces_Latn,metricx24,unknown,71481,1200000,0.1
abk_Cyrl-dan_Latn,metricx24,unknown,53175,1200000,0.0
abk_Cyrl-deu_Latn,metricx24,unknown,77231,1200000,0.1
abk_Cyrl-ell_Grek,metricx24,unknown,80380,1200000,0.1
abk_Cyrl-eng_Latn,metricx24,unknown,99246,1200000,0.1
abk_Cyrl-est_Latn,metricx24,unknown,23506,1200000,0.0
abk_Cyrl-eus_Latn,metricx24,unknown,14371,1200000,0.0
abk_Cyrl-fas_Arab,qwen3-4b-instruct-2507,unknown,61087,28000,2.2
abk_Cyrl-fin_Latn,metricx24,unknown,62027,1200000,0.1
abk_Cyrl-fra_Latn,metricx24,unknown,79663,1200000,0.1
abk_Cyrl-heb_Hebr,metricx24,unknown,60701,1200000,0.1
abk_Cyrl-hrv_Latn,qwen3-4b-instruct-2507,unknown,61016,28000,2.2
abk_Cyrl-hun_Latn,metricx24,unknown,72488,1200000,0.1
abk_Cyrl-ind_Latn,metricx24,unknown,58380,1200000,0.0
abk_Cyrl-ita_Latn,metricx24,unknown,76830,1200000,0.1
abk_Cyrl-nld_Latn,metricx24,unknown,88585,1200000,0.1
abk_Cyrl-nor_Latn,qwen3-4b-instruct-2507,unknown,36236,28000,1.3
abk_Cyrl-pol_Latn,metricx24,unknown,97352,1200000,0.1
abk_Cyrl-por_Latn,metricx24,unknown,116339,1200000,0.1
abk_Cyrl-ron_Latn,metricx24,unknown,96398,1200000,0.1
abk_Cyrl-rus_Cyrl,metricx24,unknown,103529,1200000,0.1
abk_Cyrl-slk_Latn,metricx24,unknown,49190,1200000,0.0
abk_Cyrl-slv_Latn,metricx24,unknown,64680,1200000,0.1
abk_Cyrl-spa_Latn,metricx24,unknown,95024,1200000,0.1
