direction_key,winner,winner_mean,margin,bicleaner_ai_rank,m_prometheus_7b_rank,metricx24_rank,qwen3_14b_rank,qwen3_4b_instruct_2507_rank,qwen3_8b_rank,shaomutan_remedy_9b_22_rank,wmt23_cometkiwi_da_xl_rank,xcomet_xl_rank,bicleaner_ai_mean,m_prometheus_7b_mean,metricx24_mean,qwen3_14b_mean,qwen3_4b_instruct_2507_mean,qwen3_8b_mean,shaomutan_remedy_9b_22_mean,wmt23_cometkiwi_da_xl_mean,xcomet_xl_mean
ace_Arab->ace_Latn,metricx24,0.730245996,0.077777,9,2,1,3,5,6,4,7,8,0.243758,0.652469,0.730246,0.528601,0.479876,0.46215,0.51913,0.312605,0.253228
ace_Arab->acm_Arab,qwen3-8b,0.71024888,0.002787,9,4,5,3,2,1,6,8,7,0.089062,0.634564,0.6021,0.684569,0.707461,0.710249,0.552703,0.165436,0.215234
ace_Arab->acq_Arab,qwen3-8b,0.725141862,0.005112,9,6,4,3,2,1,5,8,7,0.089431,0.57328,0.606716,0.685933,0.72003,0.725142,0.576614,0.172285,0.21559
ace_Arab->aeb_Arab,qwen3-4b-instruct-2507,0.608247885,0.009059,9,4,5,2,1,3,6,8,7,0.083318,0.571399,0.532998,0.599189,0.608248,0.59446,0.390877,0.129967,0.21352
ace_Arab->afr_Latn,m-prometheus-7b,0.806739671,0.055396,9,1,6,5,3,2,4,8,7,0.011897,0.80674,0.673604,0.707466,0.734639,0.751344,0.73122,0.208657,0.213185
ace_Arab->ajp_Arab,qwen3-4b-instruct-2507,0.703748133,0.036725,9,3,5,4,1,2,6,8,7,0.067737,0.647825,0.57017,0.633026,0.703748,0.667023,0.485333,0.159318,0.215977
ace_Arab->aka_Latn,shaomutan_remedy-9b-22,0.539947446,0.120752,9,4,2,8,3,6,1,5,7,0.099461,0.323957,0.419196,0.203644,0.346799,0.232758,0.539947,0.249198,0.215989
ace_Arab->als_Latn,qwen3-8b,0.786948731,0.052633,9,3,5,4,2,1,6,8,7,0.023857,0.711762,0.638003,0.711155,0.734316,0.786949,0.409284,0.199566,0.2102
ace_Arab->amh_Ethi,shaomutan_remedy-9b-22,0.731704588,0.134427,9,6,2,5,3,4,1,7,8,0.005146,0.282852,0.597277,0.331603,0.45769,0.434156,0.731705,0.2746,0.21542
ace_Arab->apc_Arab,qwen3-4b-instruct-2507,0.690308611,0.023255,9,4,5,3,1,2,6,8,7,0.089107,0.618447,0.573415,0.644778,0.690309,0.667053,0.48224,0.154926,0.214872
ace_Arab->arb_Arab,qwen3-4b-instruct-2507,0.754016924,0.011264,9,4,6,2,1,3,5,8,7,0.092251,0.728497,0.639082,0.742753,0.754017,0.739607,0.678587,0.188862,0.215888
ace_Arab->arb_Latn,metricx24,0.394570812,0.014093,9,6,1,3,2,4,5,8,7,0.057245,0.265256,0.394571,0.350856,0.380478,0.342688,0.31641,0.160036,0.207754
ace_Arab->ars_Arab,qwen3-8b,0.739477352,0.010732,9,5,6,3,2,1,4,8,7,0.092667,0.626013,0.624722,0.699527,0.728746,0.739477,0.66376,0.185975,0.215491
ace_Arab->ary_Arab,m-prometheus-7b,0.587565953,0.008552,9,1,5,3,2,4,6,8,7,0.067938,0.587566,0.509658,0.555759,0.579014,0.531528,0.333639,0.115348,0.210768
ace_Arab->arz_Arab,qwen3-4b-instruct-2507,0.702921852,0.007053,9,3,5,4,1,2,6,8,7,0.093286,0.665222,0.573431,0.642334,0.702922,0.695869,0.515227,0.161146,0.2151
ace_Arab->asm_Beng,qwen3-8b,0.718840219,0.013116,9,2,6,5,3,1,4,7,8,0.004875,0.705724,0.574837,0.631578,0.693514,0.71884,0.681755,0.20802,0.205405
ace_Arab->ast_Latn,qwen3-4b-instruct-2507,0.776854156,0.005286,9,2,5,4,1,3,6,8,7,0.03381,0.771568,0.503062,0.669995,0.776854,0.749995,0.26695,0.121799,0.209023
