lang_pair,source_lang,target_lang,n_rows_total,n_shards,data_mean,data_p05,data_p10,data_p50,data_quantile,T_raw,T_clipped,data_sanity_cap,T_keep_cap,T,eff_cap,kept_fraction_est
abk_Cyrl-bos_Latn,abk_Cyrl,bos_Latn,23259,1,0.341556042432785,0.0,0.0,0.0599999986588954,p10,0.0,0.05,0.0599999986588954,,0.05,0.95,0.5416666620100534
abk_Cyrl-nld_Latn,abk_Cyrl,nld_Latn,87699,1,0.7099345326423645,0.3725000023841858,0.4474999904632568,0.7462499737739563,p10,0.4474999904632568,0.4474999904632568,0.7462499737739563,,0.4474999904632568,0.95,0.9
abk_Cyrl-zho_Hant,abk_Cyrl,zho_Hant,37585,1,0.7788139581680298,0.5074999928474426,0.5799999833106995,0.8025000095367432,p10,0.5799999833106995,0.5799999833106995,0.8025000095367432,,0.5799999833106995,0.95,0.9
acm_Arab-heb_Hebr,acm_Arab,heb_Hebr,108211,1,0.7309001684188843,0.25,0.3000000119209289,0.800000011920929,p10,0.3000000119209289,0.3000000119209289,0.800000011920929,,0.3000000119209289,0.95,0.9
aeb_Arab-bos_Latn,aeb_Arab,bos_Latn,48981,1,0.7279087901115417,0.2353426218032837,0.3211050927639007,0.8191229701042175,p10,0.3211050927639007,0.3211050927639007,0.8191229701042175,,0.3211050927639007,0.95,0.9
aeb_Arab-ita_Latn,aeb_Arab,ita_Latn,239244,1,0.768297553062439,0.2633467316627502,0.3764702975749969,0.8685296773910522,p10,0.3764702975749969,0.3764702975749969,0.8685296773910522,,0.3764702975749969,0.95,0.9
afr_Latn-als_Latn,afr_Latn,als_Latn,764451,1,0.8058860898017883,0.4000000059604645,0.5,0.8500000238418579,p10,0.5,0.5,0.8500000238418579,,0.5,0.95,0.9
afr_Latn-cat_Latn,afr_Latn,cat_Latn,1165928,1,0.6969309449195862,0.0,0.2000000029802322,0.8500000238418579,p10,0.2000000029802322,0.2000000029802322,0.8500000238418579,,0.2000000029802322,0.95,0.9
afr_Latn-fil_Latn,afr_Latn,fil_Latn,325555,1,0.7326934337615967,0.4300000071525574,0.5074999928474426,0.7599999904632568,p10,0.5074999928474426,0.5074999928474426,0.7599999904632568,,0.5074999928474426,0.95,0.9
afr_Latn-hye_Armn,afr_Latn,hye_Armn,267924,1,0.7905325293540955,0.0206008460372686,0.1206162720918655,0.986571729183197,p10,0.1206162720918655,0.1206162720918655,0.986571729183197,,0.1206162720918655,0.95,0.9
afr_Latn-kmr_Latn,afr_Latn,kmr_Latn,71272,1,0.5022497177124023,0.2199999988079071,0.270000010728836,0.4824999868869781,p10,0.270000010728836,0.270000010728836,0.4824999868869781,,0.270000010728836,0.95,0.9
afr_Latn-mai_Deva,afr_Latn,mai_Deva,29406,1,0.6118068099021912,0.0,0.1500000059604644,0.6499999761581421,p10,0.1500000059604644,0.1500000059604644,0.6499999761581421,,0.1500000059604644,0.95,0.9
afr_Latn-npi_Deva,afr_Latn,npi_Deva,130445,1,0.7627310752868652,0.3275249004364013,0.4432790577411651,0.8367325067520142,p10,0.4432790577411651,0.4432790577411651,0.8367325067520142,,0.4432790577411651,0.95,0.9
afr_Latn-slk_Latn,afr_Latn,slk_Latn,1508681,1,0.6587939262390137,0.0,0.1000000014901161,0.800000011920929,p10,0.1000000014901161,0.1000000014901161,0.800000011920929,,0.1000000014901161,0.95,0.9
afr_Latn-tam_Taml,afr_Latn,tam_Taml,432333,1,0.6613093018531799,0.0,0.1500000059604644,0.800000011920929,p10,0.1500000059604644,0.1500000059604644,0.800000011920929,,0.1500000059604644,0.95,0.9
afr_Latn-vec_Latn,afr_Latn,vec_Latn,88083,1,0.1922986358404159,0.0,0.0,0.0,p10,0.0,0.05,0.0,,0.05,0.95,0.4479166655025134
als_Latn-hrv_Latn,als_Latn,hrv_Latn,71399,1,0.7390914559364319,0.3549999892711639,0.4600000083446502,0.7875000238418579,p10,0.4600000083446502,0.4600000083446502,0.7875000238418579,,0.4600000083446502,0.95,0.9
als_Latn-vie_Latn,als_Latn,vie_Latn,2254919,1,0.726966381072998,0.2498653829097747,0.3501250445842743,0.8021425604820251,p10,0.3501250445842743,0.3501250445842743,0.8021425604820251,,0.3501250445842743,0.95,0.9
amh_Ethi-cmn_Hani,amh_Ethi,cmn_Hani,162428,1,0.6993683576583862,0.4600000083446502,0.5274999737739563,0.7149999737739563,p10,0.5274999737739563,0.5274999737739563,0.7149999737739563,,0.5274999737739563,0.95,0.9
amh_Ethi-fuv_Latn,amh_Ethi,fuv_Latn,96645,1,0.2872425019741058,0.1657772660255432,0.1918811440467834,0.2828411161899566,p10,0.1918811440467834,0.1918811440467834,0.2828411161899566,,0.1918811440467834,0.95,0.9
amh_Ethi-kan_Knda,amh_Ethi,kan_Knda,75624,1,0.7219069004058838,0.0024074285756796,0.0095382882282137,0.9848443269729614,p10,0.0095382882282137,0.05,0.9848443269729614,,0.05,0.95,0.883116774716895
amh_Ethi-lug_Latn,amh_Ethi,lug_Latn,135963,1,0.352922648191452,0.0353622436523437,0.0616907253861427,0.3083416819572449,p10,0.0616907253861427,0.0616907253861427,0.3083416819572449,,0.0616907253861427,0.95,0.9
amh_Ethi-npi_Deva,amh_Ethi,npi_Deva,61382,1,0.7138450741767883,0.2509127855300903,0.36939537525177,0.7794798612594604,p10,0.36939537525177,0.36939537525177,0.7794798612594604,,0.36939537525177,0.95,0.9
amh_Ethi-som_Latn,amh_Ethi,som_Latn,559652,1,0.5688585042953491,0.0066928509622812,0.0298246126621961,0.6526210308074951,p10,0.0298246126621961,0.05,0.6526210308074951,,0.05,0.95,0.880254754085622
amh_Ethi-tir_Ethi,amh_Ethi,tir_Ethi,241750,1,0.6731405854225159,0.3300000131130218,0.4149999916553497,0.7174999713897705,p10,0.4149999916553497,0.4149999916553497,0.7174999713897705,,0.4149999916553497,0.95,0.9
