language_pair,classification
awa_Deva-ory_Orya,0-0
mag_Deva-ory_Orya,0-0
awa_Deva-guj_Gujr,0-1
awa_Deva-kan_Knda,0-1
awa_Deva-mal_Mlym,0-1
awa_Deva-npi_Deva,0-1
awa_Deva-sin_Sinh,0-1
awa_Deva-snd_Arab,0-1
awa_Deva-tel_Telu,0-1
fon_Latn-kin_Latn,0-1
fon_Latn-nya_Latn,0-1
kiu_Latn-nor_Latn,0-1
mag_Deva-mal_Mlym,0-1
mag_Deva-npi_Deva,0-1
mag_Deva-sin_Sinh,0-1
mag_Deva-tel_Telu,0-1
nds_Latn-nep_Deva,0-1
nds_Latn-nno_Latn,0-1
nds_Latn-nor_Latn,0-1
nds_Latn-oci_Latn,0-1
nds_Latn-sin_Sinh,0-1
nds_Latn-sqi_Latn,0-1
ory_Orya-sin_Sinh,0-1
ory_Orya-snd_Arab,0-1
ory_Orya-tel_Telu,0-1
ory_Orya-wln_Latn,0-1
und_Kana-mal_Mlym,0-1
und_Kana-mkd_Cyrl,0-1
und_Kana-nor_Latn,0-1
und_Kana-sin_Sinh,0-1
und_Kana-sqi_Latn,0-1
awa_Deva-mar_Deva,0-2
awa_Deva-pan_Guru,0-2
awa_Deva-san_Deva,0-2
dyu_Latn-hau_Latn,0-2
mag_Deva-mar_Deva,0-2
nds_Latn-pan_Guru,0-2
nds_Latn-xho_Latn,0-2
ory_Orya-pan_Guru,0-2
ory_Orya-san_Deva,0-2
umb_Latn-zul_Latn,0-2
und_Kana-swa_Latn,0-2
awa_Deva-ben_Beng,0-3
awa_Deva-tam_Taml,0-3
awa_Deva-urd_Arab,0-3
bew_Latn-ind_Latn,0-3
fro_Latn-heb_Hebr,0-3
fro_Latn-ind_Latn,0-3
fro_Latn-ron_Latn,0-3
fro_Latn-slk_Latn,0-3
fro_Latn-slv_Latn,0-3
gug_Latn-ron_Latn,0-3
kiu_Latn-heb_Hebr,0-3
kiu_Latn-ind_Latn,0-3
kiu_Latn-lit_Latn,0-3
kiu_Latn-ron_Latn,0-3
kiu_Latn-slk_Latn,0-3
kiu_Latn-ukr_Cyrl,0-3
mag_Deva-tam_Taml,0-3
mag_Deva-urd_Arab,0-3
nds_Latn-ron_Latn,0-3
nds_Latn-slk_Latn,0-3
nds_Latn-slv_Latn,0-3
nds_Latn-tam_Taml,0-3
nds_Latn-tha_Thai,0-3
nds_Latn-ukr_Cyrl,0-3
ory_Orya-tam_Taml,0-3
ory_Orya-urd_Arab,0-3
shp_Latn-ron_Latn,0-3
und_Beng-dan_Latn,0-3
und_Beng-ell_Grek,0-3
und_Beng-heb_Hebr,0-3
und_Beng-ind_Latn,0-3
und_Beng-ron_Latn,0-3
und_Beng-tha_Thai,0-3
und_Beng-ukr_Cyrl,0-3
und_Geor-ron_Latn,0-3
und_Hira-ron_Latn,0-3
und_Hira-slv_Latn,0-3
und_Kana-lit_Latn,0-3
und_Kana-msa_Latn,0-3
und_Kana-ron_Latn,0-3
und_Kana-slk_Latn,0-3
und_Kana-slv_Latn,0-3
und_Kana-tam_Taml,0-3
und_Kana-tgl_Latn,0-3
und_Kana-tha_Thai,0-3
und_Kana-ukr_Cyrl,0-3
und_Kana-urd_Arab,0-3
xav_Latn-ron_Latn,0-3
awa_Deva-hin_Deva,0-4
cjk_Latn-por_Latn,0-4
fro_Latn-hrv_Latn,0-4
fro_Latn-hun_Latn,0-4
fro_Latn-ita_Latn,0-4
fro_Latn-nld_Latn,0-4
fro_Latn-pol_Latn,0-4
fro_Latn-por_Latn,0-4
fro_Latn-rus_Cyrl,0-4
fro_Latn-srp_Latn,0-4
fro_Latn-swe_Latn,0-4
fro_Latn-tur_Latn,0-4
fro_Latn-vie_Latn,0-4
gug_Latn-fin_Latn,0-4
gug_Latn-hun_Latn,0-4
gug_Latn-ita_Latn,0-4
gug_Latn-nld_Latn,0-4
gug_Latn-pol_Latn,0-4
gug_Latn-por_Latn,0-4
gug_Latn-rus_Cyrl,0-4
gug_Latn-swe_Latn,0-4
gug_Latn-tur_Latn,0-4
hyw_Armn-rus_Cyrl,0-4
kiu_Latn-fin_Latn,0-4
kiu_Latn-hrv_Latn,0-4
kiu_Latn-hun_Latn,0-4
kiu_Latn-ita_Latn,0-4
kiu_Latn-nld_Latn,0-4
kiu_Latn-pol_Latn,0-4
kiu_Latn-por_Latn,0-4
kiu_Latn-rus_Cyrl,0-4
kiu_Latn-swe_Latn,0-4
kiu_Latn-tur_Latn,0-4
