lang_pair,source_lang,target_lang,n_shards_in,n_shards_out,rows_total,rows_scored,rows_failed,mean_score,elapsed_sec
awa_Deva-ory_Orya,awa_Deva,ory_Orya,1,1,99800,99783,17,0.3363,1114.4
mag_Deva-ory_Orya,mag_Deva,ory_Orya,1,1,88533,88530,3,0.2650,1244.2
awa_Deva-mar_Deva,awa_Deva,mar_Deva,1,1,145778,145740,38,0.3127,6133.8
awa_Deva-pan_Guru,awa_Deva,pan_Guru,1,1,91255,91103,152,0.2306,5145.6
awa_Deva-san_Deva,awa_Deva,san_Deva,1,1,93729,93726,3,0.0973,3062.3
dyu_Latn-hau_Latn,dyu_Latn,hau_Latn,1,1,94263,94233,30,0.3103,1703.9
mag_Deva-mar_Deva,mag_Deva,mar_Deva,1,1,131420,131412,8,0.3016,2868.0
nds_Latn-pan_Guru,nds_Latn,pan_Guru,1,1,65012,65008,4,0.6543,2826.3
nds_Latn-xho_Latn,nds_Latn,xho_Latn,1,1,69176,69173,3,0.3291,2587.3
ory_Orya-pan_Guru,ory_Orya,pan_Guru,1,1,486315,486309,6,0.4431,9141.4
ory_Orya-san_Deva,ory_Orya,san_Deva,1,1,143561,143561,0,0.2551,2173.9
umb_Latn-zul_Latn,umb_Latn,zul_Latn,1,1,92284,92262,22,0.2905,1223.3
und_Kana-swa_Latn,und_Kana,swa_Latn,1,1,26714,26714,0,0.5369,285.5
awa_Deva-kan_Knda,awa_Deva,kan_Knda,1,1,161058,161026,32,0.2938,9703.6
awa_Deva-npi_Deva,awa_Deva,npi_Deva,1,1,61718,61716,2,0.3602,3152.8
awa_Deva-snd_Arab,awa_Deva,snd_Arab,1,1,72269,72251,18,0.1927,2069.1
fon_Latn-kin_Latn,fon_Latn,kin_Latn,1,1,78885,78878,7,0.2634,1763.4
kiu_Latn-nor_Latn,kiu_Latn,nor_Latn,1,1,72056,71928,128,0.4986,1488.0
mag_Deva-npi_Deva,mag_Deva,npi_Deva,1,1,43823,43821,2,0.3222,777.4
mag_Deva-tel_Telu,mag_Deva,tel_Telu,1,1,256350,256308,42,0.2424,6110.6
nds_Latn-nno_Latn,nds_Latn,nno_Latn,1,1,101464,101457,7,0.7722,2120.1
nds_Latn-oci_Latn,nds_Latn,oci_Latn,1,1,26457,26457,0,0.5445,463.2
nds_Latn-sqi_Latn,nds_Latn,sqi_Latn,1,1,15333,15330,3,0.6577,469.7
ory_Orya-snd_Arab,ory_Orya,snd_Arab,1,1,262887,262882,5,0.2712,5024.3
ory_Orya-wln_Latn,ory_Orya,wln_Latn,1,1,12775,12774,1,0.5589,221.5
und_Kana-mkd_Cyrl,und_Kana,mkd_Cyrl,1,1,98481,98479,2,0.4140,1616.0
und_Kana-sin_Sinh,und_Kana,sin_Sinh,1,1,50927,50927,0,0.1994,759.0
asm_Beng-nds_Latn,asm_Beng,nds_Latn,1,1,26505,26503,2,0.7038,1313.9
